team1,team2,date,year,time,place,toss_winner,toss_decision,winner,won_toss_game,tied,runs_won_by,wickets_won_by,balls_remaining
PUNE WARRIORS,DELHI CAPITALS,19-May-13,2013,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,bat,Pune Warriors,1,,38,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,21-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,bat,Chennai Super Kings,1,,48,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,26-May-13,2013,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Mumbai Indians,bat,Mumbai Indians,1,,23,,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,16-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,41,,
CHENNAI SUPER KINGS,DELHI CAPITALS,21-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,bat,Chennai Super Kings,1,,93,,
KINGS XI PUNJAB,SUNRISERS HYDERABAD,22-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Sunrisers Hyderabad,bowl,Kings XI Punjab,0,,72,,
RAJASTHAN ROYALS,CHENNAI SUPER KINGS,23-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",Rajasthan Royals,bowl,Chennai Super Kings,0,,7,,
ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS,24-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sharjah Cricket Stadium, Sharjah",Royal Challengers Bangalore,bowl,Kolkata Knight Riders,0,,2,,
SUNRISERS HYDERABAD,DELHI CAPITALS,25-Apr-14,2014,10:30 AM GMT / 02:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,,4,,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,26-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,bowl,Kings XI Punjab,0,,23,,
KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS,29-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals,bat,Rajasthan Royals,1,1,,,
MUMBAI INDIANS,SUNRISERS HYDERABAD,30-Apr-14,2014,02:30 PM GMT / 06:30 PM LOCAL,"Dubai International Cricket Stadium , Dubai",Mumbai Indians,bowl,Sunrisers Hyderabad,0,,15,,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,2-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings,bat,Chennai Super Kings,1,,34,,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,5-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Kolkata Knight Riders,bowl,Rajasthan Royals,0,,10,,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,6-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bowl,Mumbai Indians,0,,19,,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,7-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Barabati Stadium, Cuttack",Chennai Super Kings,bowl,Kings XI Punjab,0,,44,,
RAJASTHAN ROYALS,SUNRISERS HYDERABAD,8-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,bowl,Sunrisers Hyderabad,0,,32,,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,9-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Kings XI Punjab,0,,32,,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,13-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Delhi Capitals,bowl,Royal Challengers Bangalore,0,,16,,
RAJASTHAN ROYALS,DELHI CAPITALS,15-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Delhi Capitals,bowl,Rajasthan Royals,0,,62,,
RAJASTHAN ROYALS,MUMBAI INDIANS,19-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Mumbai Indians,bat,Mumbai Indians,1,,25,,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,22-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bowl,Kolkata Knight Riders,0,,30,,
MUMBAI INDIANS,DELHI CAPITALS,23-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Delhi Capitals,bowl,Mumbai Indians,0,,15,,
KINGS XI PUNJAB,RAJASTHAN ROYALS,23-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rajasthan Royals,bowl,Kings XI Punjab,0,,16,,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,28-May-14,2014,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kings XI Punjab,bowl,Kolkata Knight Riders,0,,28,,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,30-May-14,2014,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Chennai Super Kings,bowl,Kings XI Punjab,0,,24,,
CHENNAI SUPER KINGS,DELHI CAPITALS,9-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Delhi Capitals,bowl,Chennai Super Kings,0,,1,,
KINGS XI PUNJAB,RAJASTHAN ROYALS,10-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab,bowl,Rajasthan Royals,0,,26,,
CHENNAI SUPER KINGS,SUNRISERS HYDERABAD,11-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,45,,
MUMBAI INDIANS,KINGS XI PUNJAB,12-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Kings XI Punjab,0,,18,,
SUNRISERS HYDERABAD,DELHI CAPITALS,18-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,bat,Delhi Capitals,1,,4,,
ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,19-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Mumbai Indians,0,,18,,
RAJASTHAN ROYALS,KINGS XI PUNJAB,21-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Sardar Patel Stadium, Ahmedabad",Kings XI Punjab,bowl,Kings XI Punjab,1,1,,,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,22-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kolkata Knight Riders,bowl,Sunrisers Hyderabad,0,,16,,
ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,22-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Chennai Super Kings,0,,27,,
DELHI CAPITALS,MUMBAI INDIANS,23-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Mumbai Indians,bowl,Delhi Capitals,0,,37,,
MUMBAI INDIANS,SUNRISERS HYDERABAD,25-Apr-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,20,,
CHENNAI SUPER KINGS,KINGS XI PUNJAB,25-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,97,,
KINGS XI PUNJAB,SUNRISERS HYDERABAD,27-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Sunrisers Hyderabad,0,,20,,
CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS,28-Apr-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,bowl,Chennai Super Kings,0,,2,,
MUMBAI INDIANS,RAJASTHAN ROYALS,1-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Rajasthan Royals,bowl,Mumbai Indians,0,,8,,
SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,2-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,bowl,Sunrisers Hyderabad,0,,22,,
KINGS XI PUNJAB,MUMBAI INDIANS,3-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,bat,Mumbai Indians,1,,23,,
RAJASTHAN ROYALS,DELHI CAPITALS,3-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Delhi Capitals,bowl,Rajasthan Royals,0,,14,,
CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE,4-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,24,,
KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,4-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Sunrisers Hyderabad,bowl,Kolkata Knight Riders,0,,35,,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,6-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,bowl,Royal Challengers Bangalore,0,,138,,
RAJASTHAN ROYALS,SUNRISERS HYDERABAD,7-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Brabourne Stadium, Mumbai",Rajasthan Royals,bowl,Sunrisers Hyderabad,0,,7,,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,7-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,Kolkata Knight Riders,1,,13,,
DELHI CAPITALS,SUNRISERS HYDERABAD,9-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Shaheed Veer Narayan Singh International Stadium, Raipur",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,,6,,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,10-May-15,2015,10:30 AM GMT / 04:00 PM LOCAL,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,39,,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,10-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,Chennai Super Kings,1,,12,,
SUNRISERS HYDERABAD,KINGS XI PUNJAB,11-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,,5,,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,13-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,bowl,Kings XI Punjab,0,,22,,
MUMBAI INDIANS,KOLKATA KNIGHT RIDERS,14-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,bowl,Mumbai Indians,0,,5,,
RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,16-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Brabourne Stadium, Mumbai",Rajasthan Royals,bat,Rajasthan Royals,1,,9,,
CHENNAI SUPER KINGS,MUMBAI INDIANS,19-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,Mumbai Indians,1,,25,,
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,20-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,71,,
MUMBAI INDIANS,CHENNAI SUPER KINGS,24-May-15,2015,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Chennai Super Kings,bowl,Mumbai Indians,0,,41,,
ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,12-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,bowl,Royal Challengers Bangalore,0,,45,,
Rising Pune Supergiants,ROYAL CHALLENGERS BANGALORE,22-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,bowl,Royal Challengers Bangalore,0,,13,,
DELHI CAPITALS,MUMBAI INDIANS,23-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Mumbai Indians,bowl,Delhi Capitals,0,,10,,
KINGS XI PUNJAB,MUMBAI INDIANS,25-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Mumbai Indians,0,,25,,
SUNRISERS HYDERABAD,Rising Pune Supergiants,26-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,34,,
DELHI CAPITALS,GUJARAT LIONS,27-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Gujarat Lions,0,,1,,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,30-Apr-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bowl,Delhi Capitals,0,,27,,
SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE,30-Apr-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore,bowl,Sunrisers Hyderabad,0,,15,,
GUJARAT LIONS,KINGS XI PUNJAB,1-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,bowl,Kings XI Punjab,0,,23,,
KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB,4-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kings XI Punjab,bowl,Kolkata Knight Riders,0,,7,,
KINGS XI PUNJAB,DELHI CAPITALS,7-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Capitals,bowl,Kings XI Punjab,0,,9,,
MUMBAI INDIANS,SUNRISERS HYDERABAD,8-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians,bowl,Sunrisers Hyderabad,0,,85,,
KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,9-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Royal Challengers Bangalore,0,,1,,
Rising Pune Supergiants,SUNRISERS HYDERABAD,10-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,,4,,
ROYAL CHALLENGERS BANGALORE,GUJARAT LIONS,14-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Gujarat Lions,bowl,Royal Challengers Bangalore,0,,144,,
MUMBAI INDIANS,DELHI CAPITALS,15-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,bowl,Mumbai Indians,0,,80,,
Rising Pune Supergiants,DELHI CAPITALS,17-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants,bowl,Rising Pune Supergiants,1,,19,,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,18-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,bowl,Royal Challengers Bangalore,0,,82,,
KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,22-May-16,2016,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Sunrisers Hyderabad,bowl,Kolkata Knight Riders,0,,22,,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,25-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bowl,Sunrisers Hyderabad,0,,22,,
ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD,29-May-16,2016,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,,8,,
SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE,5-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore,bowl,Sunrisers Hyderabad,0,,35,,
ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS,8-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,15,,
Rising Pune Supergiants,DELHI CAPITALS,11-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,bowl,Delhi Capitals,0,,97,,
KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,15-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Sunrisers Hyderabad,bowl,Kolkata Knight Riders,0,,17,,
DELHI CAPITALS,KINGS XI PUNJAB,15-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Delhi Capitals,1,,51,,
ROYAL CHALLENGERS BANGALORE,Rising Pune Supergiants,16-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Rising Pune Supergiants,0,,27,,
SUNRISERS HYDERABAD,KINGS XI PUNJAB,17-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab,bowl,Sunrisers Hyderabad,0,,5,,
GUJARAT LIONS,ROYAL CHALLENGERS BANGALORE,18-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,bowl,Royal Challengers Bangalore,0,,21,,
SUNRISERS HYDERABAD,DELHI CAPITALS,19-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,,15,,
MUMBAI INDIANS,DELHI CAPITALS,22-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Delhi Capitals,bowl,Mumbai Indians,0,,14,,
GUJARAT LIONS,KINGS XI PUNJAB,23-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,bowl,Kings XI Punjab,0,,26,,
KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE,23-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bowl,Kolkata Knight Riders,0,,82,,
MUMBAI INDIANS,Rising Pune Supergiants,24-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Rising Pune Supergiants,0,,3,,
KINGS XI PUNJAB,SUNRISERS HYDERABAD,28-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bowl,Sunrisers Hyderabad,0,,26,,
Rising Pune Supergiants,ROYAL CHALLENGERS BANGALORE,29-Apr-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,bowl,Rising Pune Supergiants,0,,61,,
GUJARAT LIONS,MUMBAI INDIANS,29-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions,bat,Mumbai Indians,0,1,,,
SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,30-Apr-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,bowl,Sunrisers Hyderabad,0,,48,,
ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB,5-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Kings XI Punjab,0,,19,,
SUNRISERS HYDERABAD,Rising Pune Supergiants,6-May-17,2017,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Rising Pune Supergiants,0,,12,,
DELHI CAPITALS,MUMBAI INDIANS,6-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Mumbai Indians,0,,146,,
KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS,9-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,bowl,Kings XI Punjab,0,,14,,
MUMBAI INDIANS,KINGS XI PUNJAB,11-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Kings XI Punjab,0,,7,,
DELHI CAPITALS,Rising Pune Supergiants,12-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,Delhi Capitals,1,,7,,
KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,13-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders,bowl,Mumbai Indians,0,,9,,
DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE,14-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,1,,10,,
MUMBAI INDIANS,Rising Pune Supergiants,16-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Rising Pune Supergiants,0,,20,,
Rising Pune Supergiants,MUMBAI INDIANS,21-May-17,2017,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,bat,Mumbai Indians,1,,1,,
RAJASTHAN ROYALS,DELHI CAPITALS,11-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,bowl,Rajasthan Royals,0,,10,,
ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS,15-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,bowl,Rajasthan Royals,0,,19,,
KINGS XI PUNJAB,CHENNAI SUPER KINGS,15-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chennai Super Kings,bowl,Kings XI Punjab,0,,4,,
KOLKATA KNIGHT RIDERS,DELHI CAPITALS,16-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Delhi Capitals,bowl,Kolkata Knight Riders,0,,71,,
MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE,17-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,bowl,Mumbai Indians,0,,46,,
KINGS XI PUNJAB,SUNRISERS HYDERABAD,19-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,1,,15,,
CHENNAI SUPER KINGS,RAJASTHAN ROYALS,20-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,bowl,Chennai Super Kings,0,,64,,
SUNRISERS HYDERABAD,CHENNAI SUPER KINGS,22-Apr-18,2018,10:30 AM GMT / 04:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,bowl,Chennai Super Kings,0,,4,,
DELHI CAPITALS,KINGS XI PUNJAB,23-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bowl,Kings XI Punjab,0,,4,,
MUMBAI INDIANS,SUNRISERS HYDERABAD,24-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Mumbai Indians,bowl,Sunrisers Hyderabad,0,,31,,
SUNRISERS HYDERABAD,KINGS XI PUNJAB,26-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab,bowl,Sunrisers Hyderabad,0,,13,,
DELHI CAPITALS,KOLKATA KNIGHT RIDERS,27-Apr-18,2018,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bowl,Delhi Capitals,0,,55,,
